Time(s)	C10bnzn(1)	O2(2)	nDBOOH1(3)	SPC(53)	HOJ(54)	HO2J(5)	C16H25J(8)	H2O(100)	C9H19J(22)	C7H6O(80)	SPC(16)	SPC(12)	C16H25J(9)	SPC(13)	SPC(10)	SPC(14)	SPC(11)	SPC(15)	SPC(17)	C16H25J(4)	C16H25J(6)	SPC(96)	C16H25J(7)	
 0.47351E-16     0.50000E-02     0.10000E-04     0.20000E-06     0.48633E-24     0.48633E-24     0.10483E-24     0.10318E-24     0.12617E-29     0.11056E-29     0.11056E-29     0.23004E-27     0.20215E-27     0.20215E-27     0.20215E-27     0.20215E-27     0.20215E-27     0.20215E-27     0.20215E-27     0.10292E-28     0.14642E-31     0.14642E-31     0.83074E-32     0.73331E-32    
 0.14205E-15     0.50000E-02     0.10000E-04     0.20000E-06     0.14590E-23     0.14590E-23     0.31450E-24     0.30954E-24     0.68490E-29     0.60018E-29     0.60018E-29     0.69043E-27     0.60679E-27     0.60679E-27     0.60679E-27     0.60679E-27     0.60679E-27     0.60679E-27     0.60679E-27     0.31028E-28     0.78934E-31     0.78934E-31     0.45097E-31     0.39534E-31    
 0.33145E-15     0.50000E-02     0.10000E-04     0.20000E-06     0.34043E-23     0.34043E-23     0.73384E-24     0.72226E-24     0.33426E-28     0.29291E-28     0.29291E-28     0.16128E-26     0.14177E-26     0.14177E-26     0.14177E-26     0.14177E-26     0.14177E-26     0.14177E-26     0.14177E-26     0.73270E-28     0.38350E-30     0.38350E-30     0.22009E-30     0.19208E-30    
 0.71026E-15     0.50000E-02     0.10000E-04     0.20000E-06     0.72949E-23     0.72949E-23     0.15725E-23     0.15477E-23     0.14523E-27     0.12726E-27     0.12726E-27     0.34639E-26     0.30456E-26     0.30456E-26     0.30456E-26     0.30456E-26     0.30456E-26     0.30456E-26     0.30456E-26     0.16068E-27     0.16628E-29     0.16628E-29     0.95626E-30     0.83280E-30    
 0.14679E-14     0.50000E-02     0.10000E-04     0.20000E-06     0.15076E-22     0.15076E-22     0.32499E-23     0.31986E-23     0.61087E-27     0.53531E-27     0.53531E-27     0.71915E-26     0.63271E-26     0.63271E-26     0.63271E-26     0.63271E-26     0.63271E-26     0.63271E-26     0.63271E-26     0.34759E-27     0.69868E-29     0.69868E-29     0.40223E-29     0.34993E-29    
 0.29831E-14     0.50000E-02     0.10000E-04     0.20000E-06     0.30637E-22     0.30637E-22     0.66046E-23     0.65005E-23     0.25093E-26     0.21989E-26     0.21989E-26     0.14749E-25     0.12992E-25     0.12992E-25     0.12992E-25     0.12992E-25     0.12992E-25     0.12992E-25     0.12992E-25     0.76969E-27     0.28685E-28     0.28685E-28     0.16522E-28     0.14367E-28    
 0.60135E-14     0.50000E-02     0.10000E-04     0.20000E-06     0.61755E-22     0.61754E-22     0.13314E-22     0.13105E-22     0.10180E-25     0.89213E-26     0.89213E-26     0.30272E-25     0.26731E-25     0.26731E-25     0.26731E-25     0.26731E-25     0.26731E-25     0.26731E-25     0.26731E-25     0.18073E-26     0.11635E-27     0.11635E-27     0.67034E-28     0.58274E-28    
 0.12074E-13     0.50000E-02     0.10000E-04     0.20000E-06     0.12398E-21     0.12397E-21     0.26733E-22     0.26314E-22     0.41017E-25     0.35945E-25     0.35945E-25     0.62955E-25     0.55845E-25     0.55845E-25     0.55845E-25     0.55845E-25     0.55845E-25     0.55845E-25     0.55845E-25     0.46562E-26     0.46872E-27     0.46872E-27     0.27009E-27     0.23476E-27    
 0.24196E-13     0.50000E-02     0.10000E-04     0.20000E-06     0.24837E-21     0.24835E-21     0.53570E-22     0.52738E-22     0.16465E-24     0.14429E-24     0.14429E-24     0.13486E-24     0.12061E-24     0.12061E-24     0.12061E-24     0.12061E-24     0.12061E-24     0.12061E-24     0.12061E-24     0.13447E-25     0.18813E-26     0.18813E-26     0.10842E-26     0.94228E-27    
 0.48440E-13     0.50000E-02     0.10000E-04     0.20000E-06     0.49694E-21     0.49686E-21     0.10725E-21     0.10560E-21     0.65950E-24     0.57799E-24     0.57799E-24     0.30481E-24     0.27628E-24     0.27628E-24     0.27628E-24     0.27628E-24     0.27628E-24     0.27628E-24     0.27628E-24     0.43392E-25     0.75356E-26     0.75356E-26     0.43430E-26     0.37742E-26    
 0.96927E-13     0.50000E-02     0.10000E-04     0.20000E-06     0.99320E-21     0.99289E-21     0.21460E-21     0.21141E-21     0.26377E-23     0.23120E-23     0.23120E-23     0.74905E-24     0.69198E-24     0.69198E-24     0.69198E-24     0.69198E-24     0.69198E-24     0.69198E-24     0.69198E-24     0.15264E-24     0.30139E-25     0.30139E-25     0.17373E-25     0.15095E-25    
 0.19390E-12     0.50000E-02     0.10000E-04     0.20000E-06     0.19822E-20     0.19810E-20     0.42930E-21     0.42333E-21     0.10534E-22     0.92355E-23     0.92355E-23     0.20534E-23     0.19392E-23     0.19392E-23     0.19392E-23     0.19392E-23     0.19392E-23     0.19392E-23     0.19392E-23     0.56783E-24     0.12036E-24     0.12036E-24     0.69395E-25     0.60283E-25    
