ChemkinName	ChemicalFormula	MolecularWeight	Radius	Diffusivity	AbrahamS	AbrahamB	AbrahamE	AbrahamL	AbrahamA	AbrahamV	ChemkinName

C10bnzn(1)	C16H26	218.0	4.383830557445066E-10	2.3930879416947003E-9	0.5529999999999999	0.13299999999999998	0.664	7.910999999999997	0.003	2.1253999999999933	C10bnzn(1)
O2(2)	O2JJ	32.0	1.9635938899326498E-10	5.342699475304629E-9	0.0	0.0	0.0	-0.723	0.0	0.191	O2(2)
nDBOOH1(3)	C16H26O2	250.0	4.463104361999832E-10	2.350581835992241E-9	1.0210000000000004	0.662	0.828	8.892999999999997	0.348	2.242799999999994	nDBOOH1(3)
SPC(53)	C16H25OJ	233.0	4.4092588763575727E-10	2.379286936792635E-9	0.8360000000000001	0.45100000000000007	0.814	8.532999999999998	0.003	2.1625999999999936	SPC(53)
HOJ(54)	HOJ	17.0	1.7953875411042722E-10	5.843246544421273E-9	0.524	0.378	0.309	0.802	0.348	0.146	HOJ(54)
HO2J(5)	HO2J	33.0	2.0088074507539484E-10	5.2224477968344294E-9	0.771	0.6849999999999999	0.37	1.4740000000000002	0.348	0.20450000000000002	HO2J(5)
C16H25J(8)	C16H25J	217.0	4.368998545960046E-10	2.4012120707056154E-9	0.5529999999999999	0.13299999999999998	0.664	7.910999999999997	0.003	2.1038999999999937	C16H25J(8)
H2O(100)	H2O	18.0	1.8787653812442953E-10	5.5839287599106645E-9	0.524	0.378	0.309	0.802	0.348	0.16730000000000003	H2O(100)
C9H19J(22)	C9H19J	127.0	3.773184690438517E-10	2.780381271035874E-9	0.12700000000000003	0.08499999999999999	0.04000000000000001	4.265000000000001	0.003	1.3551999999999986	C9H19J(22)
C7H6O(80)	C7H6O	106.0	3.2587052293481295E-10	3.219343667838634E-9	1.0480000000000003	0.4710000000000001	0.795	4.063	0.003	0.8730000000000001	C7H6O(80)
SPC(16)	C16H25J	217.0	4.368998545960046E-10	2.4012120707056154E-9	0.5529999999999999	0.13299999999999998	0.664	7.910999999999997	0.003	2.1038999999999937	SPC(16)
SPC(12)	C16H25J	217.0	4.368998545960046E-10	2.4012120707056154E-9	0.5529999999999999	0.13299999999999998	0.664	7.910999999999997	0.003	2.1038999999999937	SPC(12)
C16H25J(9)	C16H25J	217.0	4.368998545960046E-10	2.4012120707056154E-9	0.5529999999999999	0.13299999999999998	0.664	7.910999999999997	0.003	2.1038999999999937	C16H25J(9)
SPC(13)	C16H25J	217.0	4.368998545960046E-10	2.4012120707056154E-9	0.5529999999999999	0.13299999999999998	0.664	7.910999999999997	0.003	2.1038999999999937	SPC(13)
SPC(10)	C16H25J	217.0	4.368998545960046E-10	2.4012120707056154E-9	0.5529999999999999	0.13299999999999998	0.664	7.910999999999997	0.003	2.1038999999999937	SPC(10)
SPC(14)	C16H25J	217.0	4.368998545960046E-10	2.4012120707056154E-9	0.5529999999999999	0.13299999999999998	0.664	7.910999999999997	0.003	2.1038999999999937	SPC(14)
SPC(11)	C16H25J	217.0	4.368998545960046E-10	2.4012120707056154E-9	0.5529999999999999	0.13299999999999998	0.664	7.910999999999997	0.003	2.1038999999999937	SPC(11)
SPC(15)	C16H25J	217.0	4.368998545960046E-10	2.4012120707056154E-9	0.5529999999999999	0.13299999999999998	0.664	7.910999999999997	0.003	2.1038999999999937	SPC(15)
SPC(17)	C16H25J	217.0	4.368998545960046E-10	2.4012120707056154E-9	0.5529999999999999	0.13299999999999998	0.664	7.910999999999997	0.003	2.1038999999999937	SPC(17)
C16H25J(4)	C16H25J	217.0	4.368998545960046E-10	2.4012120707056154E-9	0.5529999999999999	0.13299999999999998	0.664	7.910999999999997	0.003	2.1038999999999937	C16H25J(4)
C16H25J(6)	C16H25J	217.0	4.368998545960046E-10	2.4012120707056154E-9	0.5529999999999999	0.13299999999999998	0.664	7.910999999999997	0.003	2.1038999999999937	C16H25J(6)
SPC(96)	C16H25OJ	233.0	4.4092588763575727E-10	2.379286936792635E-9	0.8360000000000001	0.45100000000000007	0.814	8.532999999999998	0.348	2.1625999999999936	SPC(96)
C16H25J(7)	C16H25J	217.0	4.368998545960046E-10	2.4012120707056154E-9	0.5529999999999999	0.13299999999999998	0.664	7.910999999999997	0.003	2.1038999999999937	C16H25J(7)
